,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight
260,John Phillips,Punch,KO/TKO,Alen Amedovski,0,1,5,0,0,0:17,Win,Middleweight
261,Alen Amedovski,Punch,KO/TKO,John Phillips,0,1,2,0,0,0:17,Loss,Middleweight
262,Makhmud Muradov,,U-DEC,Alessio Di Chirico,0,3,54,0,0,5:00,Win,Middleweight
263,Alessio Di Chirico,,U-DEC,Makhmud Muradov,0,3,36,0,0,5:00,Loss,Middleweight
264,Ismail Naurdiev,,U-DEC,Siyar Bahadurzada,3,3,69,0,3,5:00,Win,Welterweight
265,Siyar Bahadurzada,,U-DEC,Ismail Naurdiev,0,3,12,0,0,5:00,Loss,Welterweight
266,Giga Chikadze,,S-DEC,Brandon Davis,1,3,59,0,1,5:00,Win,Featherweight
267,Brandon Davis,,S-DEC,Giga Chikadze,4,3,34,0,3,5:00,Loss,Featherweight
268,Lina Lansberg,,U-DEC,Macy Chiasson,3,3,21,0,2,5:00,Win,Women's Bantamweight
269,Macy Chiasson,,U-DEC,Lina Lansberg,0,3,26,0,0,5:00,Loss,Women's Bantamweight
270,Marc Diakiese,,U-DEC,Lando Vannata,1,3,40,0,4,5:00,Win,Lightweight
271,Lando Vannata,,U-DEC,Marc Diakiese,0,3,25,0,0,5:00,Loss,Lightweight
272,Jack Shore,Rear Naked Choke,SUB,Nohelin Hernandez,11,3,46,1,4,2:51,Win,Bantamweight
273,Nohelin Hernandez,Rear Naked Choke,SUB,Jack Shore,0,3,6,0,0,2:51,Loss,Bantamweight
274,Yair Rodriguez,,CNC,Jeremy Stephens,0,1,2,0,0,0:15,Draw,Featherweight
275,Jeremy Stephens,,CNC,Yair Rodriguez,0,1,0,0,0,0:15,Draw,Featherweight
276,Carla Esparza,,M-DEC,Alexa Grasso,1,3,44,0,4,5:00,Win,Women's Strawweight
277,Alexa Grasso,,M-DEC,Carla Esparza,0,3,45,1,0,5:00,Loss,Women's Strawweight
278,Brandon Moreno,,S-DEC,Askar Askarov,1,3,34,0,1,5:00,Draw,Flyweight
279,Askar Askarov,,S-DEC,Brandon Moreno,4,3,30,0,4,5:00,Draw,Flyweight
280,Irene Aldana,,U-DEC,Vanessa Melo,0,3,125,0,0,5:00,Win,Women's Bantamweight
281,Vanessa Melo,,U-DEC,Irene Aldana,0,3,68,0,0,5:00,Loss,Women's Bantamweight
282,Steven Peterson,Spinning Back Fist,KO/TKO,Martin Bravo,0,2,49,0,0,1:31,Win,Featherweight
283,Martin Bravo,Spinning Back Fist,KO/TKO,Steven Peterson,0,2,86,0,2,1:31,Loss,Featherweight
284,Jose Quinonez,,U-DEC,Carlos Huachin,2,3,60,0,2,5:00,Win,Bantamweight
285,Carlos Huachin,,U-DEC,Jose Quinonez,0,3,32,0,0,5:00,Loss,Bantamweight
286,Kyle Nelson,Punch,KO/TKO,Polo Reyes,0,1,12,0,0,1:36,Win,Featherweight
287,Polo Reyes,Punch,KO/TKO,Kyle Nelson,0,1,6,0,0,1:36,Loss,Featherweight
288,Angela Hill,Elbow,KO/TKO,Ariane Carnelossi,0,3,92,0,0,1:56,Win,Women's Strawweight
289,Ariane Carnelossi,Elbow,KO/TKO,Angela Hill,0,3,72,0,0,1:56,Loss,Women's Strawweight
290,Sergio Pettis,,U-DEC,Tyson Nam,0,3,96,0,0,5:00,Win,Flyweight
291,Tyson Nam,,U-DEC,Sergio Pettis,0,3,40,0,0,5:00,Loss,Flyweight
292,Paul Craig,Rear Naked Choke,SUB,Vinicius Moreira,1,1,18,1,1,3:19,Win,Light Heavyweight
293,Vinicius Moreira,Rear Naked Choke,SUB,Paul Craig,0,1,1,0,0,3:19,Loss,Light Heavyweight
294,Bethe Correia,,U-DEC,Sijara Eubanks,0,3,59,0,0,5:00,Win,Women's Bantamweight
295,Sijara Eubanks,,U-DEC,Bethe Correia,1,3,77,0,1,5:00,Loss,Women's Bantamweight
296,Claudio Puelles,,U-DEC,Marcos Mariano,7,3,22,2,4,5:00,Win,Lightweight
297,Marcos Mariano,,U-DEC,Claudio Puelles,0,3,2,0,0,5:00,Loss,Lightweight
298,Justin Gaethje,Punch,KO/TKO,Donald Cerrone,0,1,40,0,0,4:18,Win,Lightweight
299,Donald Cerrone,Punch,KO/TKO,Justin Gaethje,0,1,17,0,0,4:18,Loss,Lightweight
300,Glover Teixeira,,S-DEC,Nikita Krylov,4,3,43,2,1,5:00,Win,Light Heavyweight
301,Nikita Krylov,,S-DEC,Glover Teixeira,5,3,47,1,2,5:00,Loss,Light Heavyweight
302,Todd Duffee,,CNC,Jeff Hughes,0,1,30,0,1,4:03,Draw,Heavyweight
303,Jeff Hughes,,CNC,Todd Duffee,0,1,16,0,0,4:03,Draw,Heavyweight
304,Tristan Connelly,,U-DEC,Michel Pereira,3,3,64,1,0,5:00,Win,Welterweight
305,Michel Pereira,,U-DEC,Tristan Connelly,0,3,32,0,2,5:00,Loss,Welterweight
306,Uriah Hall,,S-DEC,Antonio Carlos Junior,1,3,34,0,0,5:00,Win,Middleweight
307,Antonio Carlos Junior,,S-DEC,Uriah Hall,2,3,22,0,3,5:00,Loss,Middleweight
308,Misha Cirkunov,Peruvian Necktie,SUB,Jimmy Crute,4,1,6,1,1,3:38,Win,Light Heavyweight
309,Jimmy Crute,Peruvian Necktie,SUB,Misha Cirkunov,0,1,21,0,0,3:38,Loss,Light Heavyweight
310,Augusto Sakai,Punches,KO/TKO,Marcin Tybura,0,1,15,0,0,0:59,Win,Heavyweight
311,Marcin Tybura,Punches,KO/TKO,Augusto Sakai,0,1,6,0,0,0:59,Loss,Heavyweight
312,Miles Johns,,S-DEC,Cole Smith,2,3,31,0,1,5:00,Win,Bantamweight
313,Cole Smith,,S-DEC,Miles Johns,2,3,11,0,1,5:00,Loss,Bantamweight
314,Hunter Azure,,U-DEC,Brad Katona,1,3,41,0,0,5:00,Win,Bantamweight
315,Brad Katona,,U-DEC,Hunter Azure,1,3,21,0,3,5:00,Loss,Bantamweight
316,Chas Skelly,,U-DEC,Jordan Griffin,3,3,21,3,1,5:00,Win,Featherweight
317,Jordan Griffin,,U-DEC,Chas Skelly,3,3,37,2,1,5:00,Loss,Featherweight
318,Louis Smolka,Punch,KO/TKO,Ryan MacDonald,0,1,59,0,0,4:43,Win,Bantamweight
319,Ryan MacDonald,Punch,KO/TKO,Louis Smolka,0,1,30,0,0,4:43,Loss,Bantamweight
320,Austin Hubbard,,U-DEC,Kyle Prepolec,4,3,51,0,3,5:00,Win,Lightweight
321,Kyle Prepolec,,U-DEC,Austin Hubbard,0,3,44,0,0,5:00,Loss,Lightweight
322,Khabib Nurmagomedov,Rear Naked Choke,SUB,Dustin Poirier,5,3,22,2,7,2:06,Win,Lightweight
323,Dustin Poirier,Rear Naked Choke,SUB,Khabib Nurmagomedov,0,3,12,1,0,2:06,Loss,Lightweight
324,Paul Felder,,S-DEC,Edson Barboza,0,3,56,0,0,5:00,Win,Lightweight
325,Edson Barboza,,S-DEC,Paul Felder,0,3,60,0,1,5:00,Loss,Lightweight
326,Islam Makhachev,,U-DEC,Davi Ramos,0,3,43,0,0,5:00,Win,Lightweight
327,Davi Ramos,,U-DEC,Islam Makhachev,0,3,7,0,0,5:00,Loss,Lightweight
328,Curtis Blaydes,Elbow,KO/TKO,Shamil Abdurakhimov,3,2,25,0,5,2:22,Win,Heavyweight
329,Shamil Abdurakhimov,Elbow,KO/TKO,Curtis Blaydes,0,2,3,0,0,2:22,Loss,Heavyweight
330,Diego Ferreira,,U-DEC,Mairbek Taisumov,0,3,109,0,0,5:00,Win,Lightweight
331,Mairbek Taisumov,,U-DEC,Diego Ferreira,0,3,51,0,0,5:00,Loss,Lightweight
332,Joanne Calderwood,,S-DEC,Andrea Lee,1,3,101,0,2,5:00,Win,Women's Flyweight
333,Andrea Lee,,S-DEC,Joanne Calderwood,2,3,61,0,3,5:00,Loss,Women's Flyweight
334,Zubaira Tukhugov,,S-DEC,Lerone Murphy,2,3,22,0,6,5:00,Draw,Featherweight
335,Lerone Murphy,,S-DEC,Zubaira Tukhugov,1,3,28,2,0,5:00,Draw,Featherweight
336,Sarah Moras,Elbows,KO/TKO,Liana Jojua,1,3,44,1,0,2:26,Win,Women's Bantamweight
337,Liana Jojua,Elbows,KO/TKO,Sarah Moras,0,3,19,0,2,2:26,Loss,Women's Bantamweight
338,Ottman Azaitar,Punch,KO/TKO,Teemu Packalen,0,1,27,0,0,3:33,Win,Lightweight
339,Teemu Packalen,Punch,KO/TKO,Ottman Azaitar,0,1,8,0,0,3:33,Loss,Lightweight
340,Belal Muhammad,Rear Naked Choke,SUB,Takashi Sato,2,3,49,1,2,1:55,Win,Welterweight
341,Takashi Sato,Rear Naked Choke,SUB,Belal Muhammad,1,3,29,0,1,1:55,Loss,Welterweight
342,Muslim Salikhov,Punch,KO/TKO,Nordine Taleb,0,1,10,0,0,4:26,Win,Welterweight
343,Nordine Taleb,Punch,KO/TKO,Muslim Salikhov,0,1,6,0,0,4:26,Loss,Welterweight
344,Omari Akhmedov,,U-DEC,Zak Cummings,3,3,26,0,2,5:00,Win,Middleweight
345,Zak Cummings,,U-DEC,Omari Akhmedov,0,3,17,0,0,5:00,Loss,Middleweight
346,Don Madge,,U-DEC,Fares Ziam,2,3,21,0,3,5:00,Win,Lightweight
347,Fares Ziam,,U-DEC,Don Madge,0,3,10,0,0,5:00,Loss,Lightweight
348,Weili Zhang,Punch,KO/TKO,Jessica Andrade,0,1,29,0,0,0:42,Win,Women's Strawweight
349,Jessica Andrade,Punch,KO/TKO,Weili Zhang,0,1,4,0,0,0:42,Loss,Women's Strawweight
350,Jingliang Li,Punches,KO/TKO,Elizeu Zaleski dos Santos,0,3,59,0,2,4:51,Win,Welterweight
351,Elizeu Zaleski dos Santos,Punches,KO/TKO,Jingliang Li,0,3,54,0,0,4:51,Loss,Welterweight
352,Kai Kara-France,,U-DEC,Mark De La Rosa,0,3,91,0,1,5:00,Win,Flyweight
353,Mark De La Rosa,,U-DEC,Kai Kara-France,0,3,60,0,1,5:00,Loss,Flyweight
354,Kenan Song,,U-DEC,Derrick Krantz,0,3,58,0,0,5:00,Win,Welterweight
355,Derrick Krantz,,U-DEC,Kenan Song,3,3,33,1,3,5:00,Loss,Welterweight
356,Mizuki Inoue,,S-DEC,Yanan Wu,0,3,93,0,0,5:00,Win,Women's Flyweight
