,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight,Fight Time (s),Fight Time (mins)
450,Arman Tsarukyan,,U-DEC,Olivier Aubin-Mercier,0,3,47,0,2,5:00,Win,Lightweight,900,15.0
452,Krzysztof Jotko,,S-DEC,Marc-Andre Barriault,0,3,40,0,1,5:00,Win,Middleweight,900,15.0
454,Viviane Araujo,,U-DEC,Alexis Davis,0,3,67,0,2,5:00,Win,Women's Flyweight,900,15.0
456,Hakeem Dawodu,Kick,KO/TKO,Yoshinori Horie,0,3,80,0,0,4:09,Win,Featherweight,849,14.15
458,Gavin Tucker,Rear Naked Choke,SUB,SeungWoo Choi,3,3,37,2,5,3:17,Win,Featherweight,797,13.283333333333333
460,Deiveson Figueiredo,,U-DEC,Alexandre Pantoja,2,3,67,0,2,5:00,Win,Flyweight,900,15.0
462,Gillian Robertson,Elbows,KO/TKO,Sarah Frota,4,2,29,0,2,4:13,Win,Women's Flyweight,553,9.216666666666667
464,Erik Koch,,U-DEC,Kyle Stewart,4,3,37,0,4,5:00,Win,Welterweight,900,15.0
466,Leon Edwards,,U-DEC,Rafael Dos Anjos,2,5,92,0,3,5:00,Win,Welterweight,1500,25.0
468,Walt Harris,Punch,KO/TKO,Aleksei Oleinik,0,1,4,0,0,0:12,Win,Heavyweight,12,0.2
470,Greg Hardy,Punches,KO/TKO,Juan Adams,0,1,36,0,0,0:45,Win,Heavyweight,45,0.75
472,Dan Hooker,Punch,KO/TKO,James Vick,0,1,22,0,0,2:33,Win,Lightweight,153,2.55
474,Alexander Hernandez,,U-DEC,Francisco Trinaldo,0,3,25,0,0,5:00,Win,Lightweight,900,15.0
476,Andrei Arlovski,,U-DEC,Ben Rothwell,0,3,152,0,0,5:00,Win,Heavyweight,900,15.0
478,Alex Caceres,,U-DEC,Steven Peterson,0,3,94,0,0,5:00,Win,Featherweight,900,15.0
480,Raquel Pennington,,S-DEC,Irene Aldana,1,3,47,0,1,5:00,Win,Women's Bantamweight,900,15.0
482,Klidson Abreu,,U-DEC,Sam Alvey,1,3,36,0,1,5:00,Win,Light Heavyweight,900,15.0
484,Jennifer Maia,,U-DEC,Roxanne Modafferi,0,3,83,0,0,5:00,Win,Women's Flyweight,900,15.0
486,Ray Borg,,U-DEC,Gabriel Silva,7,3,15,1,6,5:00,Win,Bantamweight,900,15.0
488,Mario Bautista,,U-DEC,Jinsoo Son,0,3,129,0,0,5:00,Win,Bantamweight,900,15.0
490,Felipe Colares,,S-DEC,Domingo Pilarte,1,3,23,0,2,5:00,Win,Bantamweight,900,15.0
492,Germaine de Randamie,Punch,KO/TKO,Aspen Ladd,0,1,4,0,0,0:16,Win,Women's Bantamweight,16,0.26666666666666666
494,Urijah Faber,Punch,KO/TKO,Ricky Simon,0,1,11,0,0,0:46,Win,Bantamweight,46,0.7666666666666667
496,Josh Emmett,Punches,KO/TKO,Mirsad Bektic,1,1,27,0,0,4:25,Win,Featherweight,265,4.416666666666667
498,Karl Roberson,,S-DEC,Wellington Turman,1,3,50,0,0,5:00,Win,Middleweight,900,15.0
500,Marvin Vettori,,U-DEC,Cezar Ferreira,2,3,78,0,2,5:00,Win,Middleweight,900,15.0
504,Andre Fili,Punch,KO/TKO,Sheymon Moraes,0,1,19,0,0,3:07,Win,Featherweight,187,3.1166666666666667
506,Julianna Pena,,U-DEC,Nicco Montano,2,3,45,0,2,5:00,Win,Women's Bantamweight,900,15.0
508,Ryan Hall,,U-DEC,Darren Elkins,0,3,36,1,0,5:00,Win,Featherweight,900,15.0
510,Jonathan Martinez,Knee,KO/TKO,Liu Pingyuan,0,3,32,0,0,3:54,Win,Bantamweight,834,13.9
512,Brianna Van Buren,,U-DEC,Livinha Souza,0,3,72,0,3,5:00,Win,Women's Strawweight,900,15.0
514,Benito Lopez,,U-DEC,Vince Morales,0,3,54,0,0,5:00,Win,Bantamweight,900,15.0
516,Jon Jones,,S-DEC,Thiago Santos,0,5,59,0,0,5:00,Win,Light Heavyweight,1500,25.0
518,Amanda Nunes,Kick,KO/TKO,Holly Holm,0,1,17,0,0,4:10,Win,Women's Bantamweight,250,4.166666666666667
520,Jorge Masvidal,Flying Knee,KO/TKO,Ben Askren,0,1,3,0,0,0:05,Win,Welterweight,5,0.08333333333333333
522,Jan Blachowicz,Punch,KO/TKO,Luke Rockhold,0,2,30,0,0,1:39,Win,Light Heavyweight,399,6.65
524,Michael Chiesa,,U-DEC,Diego Sanchez,8,3,47,0,5,5:00,Win,Welterweight,900,15.0
526,Arnold Allen,,U-DEC,Gilbert Melendez,0,3,102,0,1,5:00,Win,Featherweight,900,15.0
528,Marlon Vera,Rear Naked Choke,SUB,Nohelin Hernandez,2,2,10,1,1,3:25,Win,Bantamweight,505,8.416666666666666
530,Claudia Gadelha,,U-DEC,Randa Markos,0,3,40,0,0,5:00,Win,Women's Strawweight,900,15.0
532,Song Yadong,Punch,KO/TKO,Alejandro Perez,0,1,8,0,0,2:04,Win,Bantamweight,124,2.066666666666667
534,Edmen Shahbazyan,Rear Naked Choke,SUB,Jack Marshman,2,1,13,1,1,1:12,Win,Middleweight,72,1.2
536,Chance Rencountre,,U-DEC,Ismail Naurdiev,4,3,4,0,2,5:00,Win,Welterweight,900,15.0
538,Julia Avila,,U-DEC,Pannie Kianzad,2,3,49,0,0,5:00,Win,Women's Bantamweight,900,15.0
540,Francis Ngannou,Punch,KO/TKO,Junior Dos Santos,0,1,9,0,0,1:11,Win,Heavyweight,71,1.1833333333333333
542,Joseph Benavidez,Punches,KO/TKO,Jussier Formiga,1,2,50,0,0,4:47,Win,Flyweight,587,9.783333333333333
544,Demian Maia,,M-DEC,Anthony Rocco Martin,4,3,3,0,3,5:00,Win,Welterweight,900,15.0
546,Vinc Pichel,,U-DEC,Roosevelt Roberts,6,3,60,1,3,5:00,Win,Lightweight,900,15.0
548,Drew Dober,Punches,KO/TKO,Polo Reyes,0,1,16,0,0,1:07,Win,Lightweight,67,1.1166666666666667
550,Alonzo Menifield,Punch,KO/TKO,Paul Craig,0,1,8,0,0,3:19,Win,Light Heavyweight,199,3.316666666666667
552,Ricardo Ramos,,U-DEC,Journey Newson,3,3,40,0,3,5:00,Win,Bantamweight,900,15.0
554,Eryk Anders,Punch,KO/TKO,Vinicius Moreira,0,1,11,0,0,1:18,Win,Light Heavyweight,78,1.3
556,Jared Gordon,,U-DEC,Dan Moret,5,3,48,0,2,5:00,Win,Lightweight,900,15.0
558,Dalcha Lungiambula,Punch,KO/TKO,Dequan Townsend,4,3,32,0,4,0:42,Win,Light Heavyweight,642,10.7
560,Amanda Ribas,Rear Naked Choke,SUB,Emily Whitmire,3,2,21,2,2,2:10,Win,Women's Strawweight,430,7.166666666666667
562,Maurice Greene,Punch,KO/TKO,Junior Albini,2,1,37,0,0,3:38,Win,Heavyweight,218,3.6333333333333333
